batch,idx,story,question,correct,incorrect,swap,assigned_correct_judge_correct,assigned_correct_consultant_wins,assigned_incorrect_judge_correct,assigned_incorrect_consultant_wins,free_choice_frac_incorrect,free_choice_judge_correct,free_choice_consultant_wins,defendability_frac_incorrect
v3,49,...And It Comes Out Here,What isn't something the guest expects the younger man to do?,listen to his directions very carefully,run the time machine,True,0.25,0.25,0.0,1.0,1.0,0.25,0.75,0.5
v3,52,The Ultroom Error,What was Arvid 6's mistake?,Arvid 6 transferred Kanad back in time 6000 years.,Arvid 6 dropped the baby when the dog started barking at him.,False,0.625,0.625,0.75,0.25,0.0,0.5,0.5,0.0
v3,127,Strange Exodus,What was not a reason that Westover felt sick to his stomach?,The monster's flesh had a bad taste,He had been fasting a long time,False,0.625,0.625,1.0,0.0,0.125,1.0,0.875,0.0
v3,151,Bramble Bush,Which is the best representation of Dr. Lessing's worries about his book?,He is concerned that having to back up his claims could keep him from being objective,He is anxious about the amount of time it will take to revise,True,0.625,0.625,0.5714285714285714,0.4285714285714286,0.0,0.625,0.625,0.0
v3,166,Disturbing Sun,Which of these is an irony represented as a main point in the story?,Evil will haunt mankind as long as there is light from the Sun,The moon controls the tides but the sun controls emotions,False,1.0,1.0,0.2857142857142857,0.7142857142857143,0.0,0.875,0.875,0.0
v3,170,The Perfectionists,What is Puerto Pacifico?,The city on a planet used as part of an attack plan by a group of aliens,A small city on the coast of California full of odd people,True,1.0,1.0,0.125,0.875,0.0,0.875,0.875,0.0
v2,4,Innocent at Large,How does Mars appear to be governed?,A separate entity doing trade with Earth,Mars and Earth are one in the same as far as the government is concerned,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,35,Image of Splendor,"Had Trillium known the outcome of her stowing away, would she have likely still stowed away?","Yes, because she was able to accomplish her mission. ","Yes, because she had already shown that she was selfish and lonely. ",True,1.0,1.0,0.0,1.0,0.0,0.875,0.875,0.0
v2,41,Beach Scene,What is NOT true of Purnie?,Purnie meets his best friends,Purnie is thoughtful,False,1.0,1.0,0.25,0.75,0.0,1.0,1.0,0.0
v2,50,The Sense of Wonder,How does Rikud change through the story?,"He questions his world, his lack of autonomy, and what it really means to live. ","He realizes his desire to feel pain, and to hurt for the first time. ",False,1.0,1.0,1.0,0.0,0.0,0.875,0.875,0.0
v2,134,To Remember Charlie By,Why was Ethel upset at night time after talking with Joey?,She had finally told him that Charlie was gone,He refused to believe her about Charlie,True,0.875,0.875,0.5714285714285714,0.4285714285714286,0.0,0.875,0.875,0.0
v2,138,A Coffin for Jacob,Why does Ben take offence to Cobb's comments about spacemen?,It's deeply personal to him. He grew up venerating space and space travel. He spent his whole life preparing for it. ,"He takes a lot of pride in his job, and dislikes Cobb disparaging it. ",True,0.5,0.5,0.0,1.0,0.0,0.75,0.75,0.0
v3,134,The Delegate from Venus,What do the Venusians want?,The Venusians don't want the people of Earth to use nuclear weapons.,The Venusians want galactic peace.,True,0.875,0.875,1.0,0.0,0.0,1.0,1.0,0.0
v3,148,Hagerty's Enzymes,How did Harper's opinion on the place of robots in the workforce change by the end of the article?,"He would believe that robots do not excel in customer service, and they are better at less personable jobs.","He would believe that robots do not operate well in hotels, but they have the potential to work well in other service jobs.",True,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.875,0.875,0.0
v3,154,Counterweight,What is significant about the captain's initial reaction to Mr. Janssens attache case being stolen?,It shows that the captain wants to give people the impression that he thinks the passengers are all okay,It proves that the captain does not think anything could be wrong,True,0.875,0.875,0.0,1.0,0.0,1.0,1.0,0.0
v3,159,Houlihan's Equation,Why of these is not a reason Houlihan agreed to help the little people?,He figured he was the only one with knowledge to help them solve their problem,He figured their ship could act as a test case for his work,True,0.75,0.75,0.14285714285714285,0.8571428571428572,0.125,0.875,1.0,0.0
v2,72,The Birds and the Bees,Which is least likely contributing to Xeon's request to move to the fields before the Oracle of Delni? ,The pressure from Sias to keep the situation private,The urge to make the event less of a spectacle,False,0.75,0.75,0.16666666666666666,0.8333333333333334,0.375,0.375,0.75,0.25
v2,81,Spatial Delivery,How does the relationship between Lt. Britton and Mj. Banes change over the course of the story?,"Major Banes becomes more stressed about Lt. Britton throughout, though he is no longer angry",They become more cordial as they try to keep each other calm,True,0.875,0.875,0.875,0.125,0.0,1.0,1.0,0.0
v2,48,Spacemen Die at Home,What finally helped Ben make his final decision?,looking at the box Charlie left him,finding out Charlie was dead,True,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v3,188,The Hunters,"What was likely Miss Burton's real motivation for ""entertaining"" Curt George? ",To show him her own acting skills,To thank him for coming,True,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0
v2,119,Unborn Tomorrow,What is the goal of the story that Simon tells Mr. Oyster?,He wanted to explain why the trip would not be successful if he went to Germany.,He wanted to mock his prospective client for his ideas about time travel.,False,1.0,1.0,0.2857142857142857,0.7142857142857143,0.0,0.875,0.875,0.125
v3,3,...After a Few Words...,Which of these statements about the cigarettes has an irony that is represented elsewhere in the story?,The fact that the cigarettes themselves are anachronistic,"The fact that Sir Robert only held one for a short time before dropping it, after saying how good it was",True,0.875,0.875,0.14285714285714285,0.8571428571428572,1.0,0.75,0.25,1.0
v3,11,The Hairy Ones,What is Rolf's new plan when he spots the rocket?,"He'll be able to distribute water to Mar's colonies, and get out with Tanner and the girl.","He'll have a way out of the caverns at last, be able to escape. ",True,0.125,0.125,0.0,1.0,0.0,0.25,0.25,0.375
v3,34,A Gleeb for Earth,"How does the phrase ""to be or not to be"" tie into the overall story? ","It plays into the nature of Glmpauszn's people, and how they exist along side ours. ",It plays into the uncertain nature of the story's truth.,False,0.875,0.875,0.0,1.0,0.0,0.875,0.875,0.0
v3,90,Second Landing,What is the connection between the aliens in the present holiday?,The aliens happen to fit the image many humans have of this holiday.,The timing of this trip allows the aliens to see an important holiday first hand.,True,0.875,0.875,0.2857142857142857,0.7142857142857143,0.0,0.625,0.625,0.0
v3,27,The Dope on Mars,How long was the author away from earth on this trip?,17 months,16 months,False,1.0,1.0,0.125,0.875,0.0,1.0,1.0,0.0
v3,198,The Ultroom Error,How many times did Tendal 13 and Arvid 6 go to the Laughton's home?,Three,Two,False,0.0,0.0,0.0,1.0,0.125,0.125,0.25,1.0
v3,22,Silence is—Deadly,"What is implied when the narrator describes Nelson’s light colored hair? 
","Nelson is German by ancestry, raised sympathetic to Germany’s cause. 
","Nelson is German by ancestry, but was raised on the side of the American effort. 
",False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v3,76,The God Next Door,Which is the most accurate description of the planet Stinson finds himself on? ,Some kind of penal colony,An abandoned desert planet that cannot sustain life,False,1.0,1.0,0.14285714285714285,0.8571428571428572,0.0,1.0,1.0,0.0
v3,30,Strange Exodus,Why was Westover described as shrinking?,He was starving because the monsters ate all the food,He was tired from walking a long way,False,0.125,0.125,0.0,1.0,0.0,0.375,0.375,0.0
v3,58,Unborn Tomorrow,What does Simon think about the possibility of time travel?,"He knows that it's real, but thinks that its secret will be kept in the future.","He thinks it's possible, but finds it ridiculous that Oktoberfest would be the place to find it.",False,0.375,0.375,0.0,1.0,0.0,0.25,0.25,0.0
v3,83,My Lady Greensleeves,What is true about the world these characters live in?,"People are segregated by career, and not allowed to mingle with other groups or switch jobs. ","People are segregated by career, and it's incredibly difficult for them to meet other groups and switch jobs. ",True,0.375,0.375,0.0,1.0,1.0,0.0,1.0,0.75
v2,60,Confidence Game,Why does the narrator only want one bed?,He wants to be able to buy himself a coffee later on,He needs the spare money to buy food for himself and Doc,True,0.75,0.75,0.0,1.0,0.0,0.75,0.75,0.0
v3,136,Second Landing,What is the relationship between the two aliens?,They are equal rank and similar opinions means decisions are made quickly.,"They are curious about different aspects of the culture and are hesitant for different reasons, but both want to help the humans.",True,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0
v3,143,Double-Cross,What didn't Svan do to try to save his planet?,Plant a bomb on the ship from Earth,Blow up his own vehicle and friends,False,0.75,0.75,0.5714285714285714,0.4285714285714286,0.5,0.625,0.625,1.0
v3,193,The Eternal Wall,How does Loy Chuk bring the mummy to life?,"While rehydrating the body, Loy Chuk used electrodes to send energy throughout the body.","After rehydrating the body, Loy Chuk used electrodes to send energy throughout the body.",True,0.75,0.75,0.0,1.0,0.0,0.75,0.75,1.0
v2,64,The Last Monster,What did Irgi find that could have helped his people if it weren't too late?,The mist and the blue light,The mist and the globe of transparent metal,False,0.875,0.875,0.625,0.375,1.0,0.75,0.25,1.0
v3,116,PRoblem,What did the majority of the population think was the worst part about the Grdznth?,They were too polite,Their off-putting appearance ,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v2,30,A Fall of Glass,Why have so many people resorted to pick-pocketing?,The pickpocketers are trying to acquire information about Fownes,"Resources are scarce in the Dome, so people have to resort to desperate measures",False,0.625,0.625,0.0,1.0,1.0,0.0,1.0,0.0
v2,52,The Stoker and the Stars,What is a theme of the story?,Simple actions can mend deep conflict. ,War changes people. ,False,0.5,0.5,0.25,0.75,0.0,0.5,0.5,1.0
v2,142,All Day September,Why does Evans give up his drinking water?,Using the water is the only way for his transportation to work,He knows he does not have enough to survive so he uses it to save his equipment,True,1.0,1.0,0.125,0.875,0.0,1.0,1.0,0.0
v2,143,Of All Possible Worlds,Approximately how many farm animals were there in the Americas?,30,5,False,0.25,0.25,0.125,0.875,0.25,0.25,0.25,0.25
v3,13,Silence is—Deadly,"What is Androka’s motivation for using the zone of silence? 
","He is helping the Nazi war effort
","He is planning revenge against the Nazis for harming his family. 
",True,0.875,0.875,0.14285714285714285,0.8571428571428572,0.0,1.0,1.0,0.0
v2,86,The Non-Electronic Bug,Why were Henry and the protagonist puzzled after winning in the card game?,They were able to spy on the cards without seeing them,They won far more money than they expected,False,0.875,0.875,0.2857142857142857,0.7142857142857143,0.0,0.5,0.5,0.0
v3,23,Pen Pal,What is significant about the meal Matilda is served?,It lends credence to Gorka’s otherworldly claims. How else could it have happened? ,"It’s exactly what she wanted to eat, and she didn’t have to ask for it. ,",False,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0
v3,73,The Little Red Bag,Which is likely true about Julia's sister given the information in the story?,She was in on the plan with Julia's husband,She is flaky and can't be trusted when it comes to travel plans,False,0.125,0.125,0.0,1.0,0.25,0.0,0.25,1.0
v2,29,The Air of Castor Oil,Why was the main character daydreaming about being a war-time pilot?,He was actually there and the memories were real,He was obsessed with magazines about the subject,True,0.75,0.75,0.125,0.875,0.0,0.875,0.875,0.375
v2,113,Voyage to Far N'jurd,"What is the relationship between the priest and the captain, in terms of their jobs?",The priest is held in higher esteem and has the nicest living arrangements,"The captain is in charge of the ship, but he allows the priest to make cultural decisions",False,0.0,0.0,0.0,1.0,1.0,0.125,0.875,1.0
v3,64,Birds of a Feather,Why did the recruiter offer Lawrence $50 Galactic a week?,"He was able to offer him less, knowing he would still accept and be grateful. ",He would be paid less because he would also be reimbursed for expenses and have free travel. ,False,1.0,1.0,0.75,0.25,0.0,0.75,0.75,0.0
v3,65,Toy Shop,The inventors of the gadget are targeting who to buy it?,Scientists,People with children,False,0.25,0.25,0.0,1.0,0.0,0.375,0.375,0.0
v3,41,The Last Monster,Where did the spaceship land?,North of the desert,South of the rocks,False,1.0,1.0,0.875,0.125,0.375,0.875,0.5,0.125
v3,59,February Strawberries,What likely happens to Linton at the end of the story?,He repeats a cycle of having his money taken from him from doctors,He will never leave the asylym because he needs too much help,True,0.75,0.75,0.0,1.0,0.375,0.5,0.875,0.875
v3,117,Grandma Perkins and the Space Pirates,Which of Mrs. Perkins’ qualities makes her suspicious?,Strength,Sharp mind,True,0.875,0.875,0.0,1.0,1.0,0.0,1.0,1.0
v3,199,Counterweight,Which of these is true about the Red Mask?,He is entirely harmless and it just looks like he's trouble,He does not hesitate to use physical violence,True,0.75,0.75,0.2857142857142857,0.7142857142857143,0.625,0.625,0.5,1.0
v2,62,Warrior of Two Worlds,"What is the significance of the narrator’s height? 
","It shows he is not from Dondromogon
","It shows he is the Conquering Stranger 
",True,1.0,1.0,0.75,0.25,0.0,1.0,1.0,1.0
v2,127,February Strawberries,Which is the best description of the relationship between Linton and Howell?,Howell is trying to be supportive but is exhausted by Linton's insistence,Howell is only meeting with Linton out of a feeling of obligation and doesn't care for him much,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v3,61,The First One,Why did nobody react when Henry's mother started crying at the table?,They felt for her in all of the uncertainty and tension.,They didn't understand what was wrong and felt too awkward to say anything.,True,0.25,0.25,,,1.0,0.0,1.0,1.0
v3,120,The God Next Door,Which is the best description of the Sand God?,"A tempermental, angry power who has always lived on this planet",Volatile and convinced of old ideas without putting them under scrutiny,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
v2,57,The Dwindling Years,What is particularly strange about humans this world? ,"People are living for far, far longer than they ever have before. ","They have achieved immortality, ",True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,131,Bodyguard,"Why did Gabe tell the girl that he was with that he had never before seen the nondescript man, though the two clearly knew each other?",He had not actually seen that man with the new face,He had not wanted her to know the truth. ,True,0.625,0.625,0.0,1.0,0.0,0.625,0.625,0.0
v3,39,The Blue Behemoth,Why does Jig bluff to Beamish initially?,He knows he can get away with it - Beamish has the money to match what they ask.,"He doesn't trust Beamish, and wants to see if he's committed to the idea. ",True,0.75,0.75,0.0,1.0,1.0,0.0,1.0,1.0
v3,69,Pick a Crime,Why does Hendricks help Joe?,Hendricks knows Joe will not go for the free treatment. ,Hendricks knows becoming an EX is the way for Joe to get an excellent job.,True,1.0,1.0,0.6,0.4,0.875,0.25,0.875,0.125
v3,126,Double Trouble,What is so unique about the cockatoos on this planet?,They are able to physically mimic any picture. ,They are able to copy speech. ,False,0.5,0.5,0.0,1.0,0.0,0.25,0.25,0.0
v3,178,The Repairman,What was the natives' solution to keeping the holy waters from stopping again?,To blind anyone who enters the holy space,To weld the gate shut and never allow anyone to enter the holy space,False,0.5,0.5,0.0,1.0,0.75,0.0,0.75,1.0
v2,58,The Snowball Effect,How does the Dean feel about Caswell?,The Dean views Caswell as a friend and co-conspirator.,The Dean thinks Caswell is a stuck-up intellectual.,False,0.75,0.75,0.0,1.0,0.0,1.0,1.0,0.0
v3,32,Scrimshaw,Why does the red-headed man come to the moon?,"To rescue Sattell, the diamonds are his payment.",To steal the diamonds.,False,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
v3,43,Gun for Hire,How does Joe feel about Brett-James and Reston-Farrell?,Joe thinks they are ridiculous and that Howard Temple-Tracy would make a better associate.,Joe thinks they are cowards as they are unable to kill their enemy themselves.,True,1.0,1.0,0.0,1.0,0.0,0.75,0.75,1.0
v2,135,Toy Shop,What distracts Biff and his friends from continuing their poker game?,They discover that the trick only works when the power button is on. ,They can't figure out how to do the trick because the thread keeps breaking. ,True,1.0,1.0,0.0,1.0,0.0,0.625,0.625,0.0
v3,80,Monkey On His Back,How does Zarwell feel about Bergstrom?,"Zarwell thinks Bergstrom is an alright guy. However, Zarwell isn't interested in making friends. He just wants to retire in anonymity.",Zarwell is suspicious of Bergstrom. He's sure Bergstrom has been tampering with his memories.,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,132,Rattle OK,"Based on the context of the story, on which day was the package received to the home?",Tuesday,Wednesday,True,1.0,1.0,0.5714285714285714,0.4285714285714286,0.0,1.0,1.0,0.0
v3,9,And Then the Town Took Off,Which theory didn't they rule out for how Superior went missing?,magnetized levitation,secret government experiments,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v3,130,Junior Achievement,Why will the group be out of the mouse business by the fall?,"The mice are breeding so fast, they will not be a novelty much longer.","When the cold weather comes in the fall, the mice won't survive in the cold barn.",True,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.0
v3,174,The Hunted Heroes,Which of these do Ron and Ledman have in common?,There were both injured in the same accident,They have both been wrong by the companies that they worked for,True,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0
v2,5,The Man Outside,Why does Martin prefer to live on the yacht?,Martin is used to being isolated now. The people on land live in a different world than he does.,Martin thinks being on the ocean will make it harder for Conrad to find him.,True,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.875,0.875,0.625
v2,98,Second Landing,Why is it significant that the aliens only differ from humans in one physical characteristic?,The aliens happened to look like certain beings from stories of Earth's history.,It proves that the aliens and humans are actually distant relatives.,True,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,99,Star Mother,Why does Martha seem so calm when Terry's death is confirmed?,Martha made peace with Terry's death in the hours since the general's last telegram.,"After communing with the stars in the afternoon, Martha realizes that this is the way Terry would want to go.",False,1.0,1.0,0.16666666666666666,0.8333333333333334,0.0,1.0,1.0,0.75
v2,54,The Little Red Bag,Which is the best description of how Julia reacted to the narrator trying to take her bag?,She was surprised enough by the request that she wasn't quite sure how to react,She was unsettled because a strange man had approached her trying to take her things,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,97,Spacemen Die at Home,How does Ben feel about Laura?,"Ben loves Laura, but not enough to give up space travel.",Ben thinks Laura is the one.,False,1.0,1.0,0.7142857142857143,0.2857142857142857,0.0,1.0,1.0,0.0
v3,38,The Cosmic Express,Why don't Eric and Nada build a shelter first?,They are looking for flint to make a fire.,They are looking for dry sticks to rub together.,False,0.875,0.875,0.0,1.0,0.0,0.75,0.75,0.0
v3,164,In Case of Fire,How does Bertrand Malloy feel about sending the team of man in his place?,He is glad he does not have to go and things they will do a better job anyway.,He wishes he could do the job himself but knows they are the best for the job.,True,1.0,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,0.0
v2,0,Doctor Universe,"What is Grannie Annie referring to when she says ""the I.P men aren't strong enough?"" ","She knows that as the politcal climate worsens, the I.P won't be able to keep up with the chaos. ",Just that - that the local law enforcement should be stronger. ,True,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,0.625,0.625,0.0
v2,1,Conspiracy on Callisto,Why did Duane say he did not recognize the girl?,He had a head injury,He was playing dumb,True,0.75,0.75,0.375,0.625,0.0,1.0,1.0,0.0
v2,2,Conditionally Human,Which terms best describe the tone of the passage in which Terry incinerates 23 of his long-term barn residents?,Hopeless and unsettled,Unphased and unapologetic,False,0.875,0.875,0.25,0.75,0.0,0.625,0.625,0.0
v2,3,The Conjurer of Venus,How do Caldwell and Johnson keep in communication when they are out of sight of each other?,They don't,Telepathy,True,1.0,1.0,1.0,0.0,0.5,1.0,0.5,0.625
v2,6,The Gravity Business,To whom was Grammy married?,Fred,Grampa,True,0.75,0.75,0.5,0.5,0.25,1.0,0.75,0.0
v2,7,A Pail of Air,"What are the layers of frozen material, from bottom to top?","Water, carbon dioxide, nitrogen, oxygen, helium","Water, nitrogen, carbon dioxide, oxygen, helium",True,1.0,1.0,0.8571428571428571,0.1428571428571429,0.0,1.0,1.0,0.0
v2,9,I'm a Stranger Here Myself,What is Rupert doing in Tangier?,He is on a mission to encourage international conflict.,He is on a business trip to find a source of protein.,True,1.0,1.0,0.75,0.25,0.0,0.875,0.875,0.0
v2,10,The Secret Martians,How did Jery feel when going to Baxter's office the second time?,more comfortable and relaxed,excited to find out what happens next,True,1.0,1.0,0.0,1.0,0.375,0.625,1.0,0.125
v2,12,Cultural Exchange,Are the two thousand students truly being sent off to college?,"No, because there exists few academic resources for them where they are heading. ","Yes, because there is a small college out where the students are heading.",True,1.0,1.0,0.42857142857142855,0.5714285714285714,0.0,1.0,1.0,0.0
v2,13,Ambition,Why was Maitland kidnapped?,Because he wanted to go to the moon,Because he was strong and ambitious,True,1.0,1.0,0.4,0.6,0.0,0.875,0.875,0.0
v2,15,Peggy Plays Off-Broadway,What is Randy’s role during the auditions?,Quiet observer,Cues up the lines for the auditions,True,1.0,1.0,0.75,0.25,0.5,0.875,0.625,0.0
v2,17,The Link,"What did Dana mean by the saying the concerts ""have come so far?""",The concerts have become an event that involves the entire community,They have traveled a great distance to keep having concerts,True,1.0,1.0,0.25,0.75,0.0,1.0,1.0,0.0
v2,18,And Then the Town Took Off,What impression can be made about Don’s feelings towards Alis?,He was quickly becoming fond of her. ,He was afraid of her because of her boldness. ,False,1.0,1.0,0.5714285714285714,0.4285714285714286,0.0,1.0,1.0,0.0
v2,19,The Eternal Wall,"Why are the Kar-Rah shouting ""Kaalleee tik tik tik!""? ",They are exuberating in their discovery of a human,They are praising Loy Chuk for his accomplishment,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,24,End as a Hero,What does Peter intend to do upon his return to Earth?,Explain his discoveries,Infiltrate military headquarters and report back to the Gool,False,1.0,1.0,0.5,0.5,0.75,0.875,0.375,1.0
v2,25,Toy Shop,How are the inventors of the gadget hoping to get rich?,They will earn money from any inventions that use the same technology as the gadget. ,A university will fund their research through grants. ,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,26,Jinx Ship to the Rescue,How would you describe the author's style throughout the passage?,He uses lots of technical details and technologies to immerse the reader in the lore,He uses lots of historical data from previous science fiction universes,True,1.0,1.0,0.5714285714285714,0.4285714285714286,0.0,1.0,1.0,0.0
v2,36,The Hunted Heroes,Why is the Geig Corps important?,It is UranCo's method of acquiring manpower for the resource search,Val and Ron worked for them before signing up with UranCo,False,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,37,Survival Type,What is Lanceford’s best chance for survival?,Asking for help,He knows he can not survive after he is in anaphylactic shock,True,1.0,1.0,0.625,0.375,0.0,1.0,1.0,0.0
v2,42,Meeting of the Board,Why were the reports for the Robling company bad?,Poor production and no innovation,Too much spending by the executives,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,43,A Gift from Earth,what is the 'gift from Earth'?,capitalism,destruction of the caste system,True,0.875,0.875,0.8571428571428571,0.1428571428571429,1.0,1.0,0.0,0.0
v2,44,Cakewalk to Gloryanna,"After reading about the troubles of Captain Hannah maintaining the marocca during the transport to Gloryanna III, what can one infer about his character?",Captain Hannah is a clever and sharp man.,Captain Hannah is a disorganized thinker.,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
v2,46,The Repairman,Why was it urgent to repair the old Beacon?,It was causing disruptions in hyperspace travel,It had been 2000 years since the last routine matinence,False,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.0
v2,49,The Conjurer of Venus,What is the relationship like between Caldwell and Johnson?,Partners on a mission,Adversarial colleagues,True,1.0,1.0,0.125,0.875,0.5,0.5,1.0,0.625
v2,51,The Street That Wasn't There,Why did Mr. Chambers become a recluse?,He was exiled after a controversial theory,He simply did not like people,False,0.14285714285714285,0.14285714285714285,0.5,0.5,0.0,0.375,0.375,0.0
v2,53,One-Shot,Why did Dr. Harris call Braun?,He has good intuition. ,He has a criminal past.  ,False,0.625,0.625,0.375,0.625,0.0,0.625,0.625,0.0
v2,55,Red Witch of Mercury,How did the Mercurians adjust to the heat?,They mostly lived under the ground.,Their yellow eyes filtered the sun’s rays.,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,59,The Gravity Business,Why did Junior land the ship so roughly?,The planet had a variable gravity field,He kept his thumb on the on-off button,True,1.0,1.0,0.6666666666666666,0.33333333333333337,0.0,1.0,1.0,0.0
v2,61,The Anglers of Arz,What likely happened to the squid once the Marco departed?,There was no change,They went to war with the pink anglers,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,63,Down to the Worlds of Men,What happened to Earth?,Overpopulation caused a war,"People divided into small, vicious colonies",False,0.42857142857142855,0.42857142857142855,0.375,0.625,0.0,0.2857142857142857,0.2857142857142857,0.0
v2,65,Birds of a Feather,Why did the Wazzenazzian feel that he would be beneficial as an employee to the recruiter?,He said he knew all there is to know about alien life-forms,He was capable of speaking all languages. ,False,1.0,1.0,0.125,0.875,0.0,1.0,1.0,0.0
v2,66,Viewpoint,Where is Broom in the beginning of the story?,An office,A mental hospital,True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,68,The Spy in the Elevator,Why did his girlfriend put such an emphasis on promptness?,She was conditioned by her work,She was a perfectionist,True,1.0,1.0,0.375,0.625,0.0,1.0,1.0,0.0
v2,71,PRoblem,Where was the plane that Pete was aboard heading?,New Philly,Washington D.C.,False,0.75,0.75,0.75,0.25,0.0,0.75,0.75,0.0
v2,74,Spawning Ground,Why were the cadets outside alone?,They were young and untrained.,They were lost.,True,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,75,The Hunters,What is implied by the whispered conversation between Manto and Palit?,They are aliens who are looking to colonize the planet,They are planning on abducting one of the students,True,1.0,1.0,0.14285714285714285,0.8571428571428572,0.0,0.875,0.875,0.0
v2,77,Slingshot,What is Sylvia's relation to Paul?,She is his girlfriend,She is his wife,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
v2,79,The Cosmic Express,How does the Cosmic Express Ray work?,Matter is converted into power and sent out as a radiant beam. The beam is then focused to convert it back into atoms at the destination.,A radiant beam converts matter into power in order to be sent and then converted back into atoms at a new destination.,False,1.0,1.0,0.7142857142857143,0.2857142857142857,0.0,1.0,1.0,0.0
v2,80,The Secret Martians,How does Jery's behavior change when he's wearing the uniform and amnesty?,"He's bolder, playing into the sense of power it gives him",He's surprised by the authority it seems to give him,False,0.875,0.875,0.2857142857142857,0.7142857142857143,0.0,1.0,1.0,0.0
v2,82,The Ultroom Error,Why did Tiger die?,Tiger suffocated.,Tiger died from an allergic reaction to biting Arvid 6.,False,0.75,0.75,0.2,0.8,0.0,0.25,0.25,0.0
v2,83,The Green Beret,Which statement best describes how Read changes throughout the story?,He overcame his cowardly ways to act for the good of his mission.,He became much less of an individual and more of a pawn for the UN.,True,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0
v2,85,To Each His Star,Which best describes the relationship between Russell and Dunbar?,They have similar goals but do not necessarily work well together,"Neither of them likes the other, in a way that hinders group dynamics",False,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.2857142857142857,1.0,0.25,0.75,1.0
v2,87,Spaceman on a Spree,What is the main reason that Gubelin is so resentful of Si’s decision?,"He fears the end of the Space Exploration program, and for mankind’s research of space to come to an end.","He doesn’t want to have to go through the effort of training a new spaceman, as it’s very costly and time consuming.",False,0.5,0.5,0.2857142857142857,0.7142857142857143,0.0,0.5,0.5,0.0
v2,93,The Jupiter Weapon,What is Dom Blessings's relationship to Dr. Mansard?,Dom Blessing was Dr. Mansard's assistant.,Dom Blessing was Dr. Mansard's best friend.,True,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.0
v2,101,Lex,What was the purpose of the interview questions?,To see if Peter was trainable,To find out about Peter's past job experience,False,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,0.8571428571428571,0.8571428571428571,0.0
v2,103,The Blue Tower,What is Corisande’s secret weapon?,She uses Ludovick's obedient nature and moral character to trick him into going into the Blue Tower. ,The love between Corisande and Ludovick. ,True,1.0,1.0,0.3333333333333333,0.6666666666666667,0.125,0.625,0.75,0.0
v2,105,Beach Scene,Why does Forbes want to take Purnie?,Forbes wants Purnie because he emits radiation.,Forbes wants Purnie because he can stop time.,False,0.875,0.875,0.625,0.375,0.0,1.0,1.0,0.0
v2,107,The Man Outside,Why don't the cousins realize the flaw in their plan?,They are not very intelligent.,They are highly interbred.,True,0.8,0.8,1.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0
v2,109,Gourmet,Which of these is the best description of the narrator? ,A surgeon who happens to know some things about the history of food,A doctor who is also a food critic,False,1.0,1.0,0.25,0.75,0.125,1.0,0.875,0.0
